Index,Account #     , Meter #       , Usage Date   ,Month,Day, Usage (kWh)         , End Meter Read   , Daily Energy Cost Approx   , High Temperature      , Avg Temperature      ,Low Temperature   
53,184510001,137389, 10/23/2019   ,10,23,40,37188,3.68,73,60,48
54,184510001,137389, 10/24/2019   ,10,24,23,37211,2.12,76,67,60
55,184510001,137389, 10/25/2019   ,10,25,23,37234,2.12,81,74,66
56,184510001,137389, 10/26/2019   ,10,26,9,37243,0.83,66,64,52
57,184510001,137389, 10/27/2019   ,10,27,9,37252,0.83,62,49,39
58,184510001,137389, 10/28/2019   ,10,28,9,37261,0.83,42,33,27
59,184510001,137389, 10/29/2019   ,10,29,17,37278,1.57,51,46,42
60,184510001,137389, 10/30/2019   ,10,30,23,37301,2.12,60,52,44
61,184510001,137389, 10/31/2019   ,10,31,40,37341,3.68,49,45,38
62,184510001,137389, 11/01/2019   ,11,1,7,37348,0.65,68,58,50
63,184510001,137389, 11/02/2019   ,11,2,3,37351,0.28,44,38,30
64,184510001,137389, 11/03/2019   ,11,3,3,37354,0.28,55,48,45
65,184510001,137389, 11/04/2019   ,11,4,8,37362,0.74,53,45,38
66,184510001,137389, 11/05/2019   ,11,5,7,37369,0.65,64,58,48
67,184510001,137389, 11/06/2019   ,11,6,4,37373,0.37,56,51,47
68,184510001,137389, 11/07/2019   ,11,7,3,37376,0.28,66,62,58
69,184510001,137389, 11/08/2019   ,11,8,5,37381,0.46,49,44,41
70,184510001,137389, 11/09/2019   ,11,9,6,37387,0.55,58,46,38
71,184510001,137389, 11/10/2019   ,11,10,6,37393,0.55,60,50,40
72,184510001,137389, 11/11/2019   ,11,11,39,37432,3.6,42,35,29
73,184510001,137389, 11/12/2019   ,11,12,38,37470,3.5,98,84,74
74,184510001,137389, 11/13/2019   ,11,13,54,37524,4.98,84,77,69
75,184510001,137389, 11/14/2019   ,11,14,38,37562,3.5,86,76,66
76,184510001,137389, 11/15/2019   ,11,15,35,37597,3.23,92,82,74
77,184510001,137389, 11/16/2019   ,11,16,34,37631,3.13,44,41,41
78,184510001,137389, 11/17/2019   ,11,17,34,37665,3.13,66,55,51
79,184510001,137389, 11/18/2019   ,11,18,34,37699,3.13,50,46,34
80,184510001,137389, 11/19/2019   ,11,19,31,37730,2.86,37,32,27
81,184510001,137389, 11/20/2019   ,11,20,39,37769,3.6,64,61,53
82,184510001,137389, 11/21/2019   ,11,21,31,37800,2.86,67,63,58
83,184510001,137389, 11/22/2019   ,11,22,30,37830,2.77,47,44,43
84,184510001,137389, 11/23/2019   ,11,23,19,37849,1.75,51,41,33
85,184510001,137389, 11/24/2019   ,11,24,19,37868,1.75,92,81,72
86,184510001,137389, 11/25/2019   ,11,25,32,37900,3.23,94,80,73
87,184510001,137389, 11/26/2019   ,11,26,6,37906,0.55,77,67,58
88,184510001,137389, 11/27/2019   ,11,27,33,37939,3.04,68,58,49
89,184510001,137389, 11/28/2019   ,11,28,40,37979,3.69,44,38,31
90,184510001,137389, 11/29/2019   ,11,29,33,38012,3.04,45,41,31
91,184510001,137389, 11/30/2019   ,11,30,35,38047,3.23,56,49,47
92,184510001,137389, 12/01/2019   ,12,1,35,38082,3.23,57,55,40
93,184510001,137389, 12/02/2019   ,12,2,30,38112,2.77,48,41,35
94,184510001,137389, 12/03/2019   ,12,3,48,38160,4.43,53,48,43
95,184510001,137389, 12/04/2019   ,12,4,20,38180,1.84,63,59,54
96,184510001,137389, 12/05/2019   ,12,5,32,38212,2.95,46,41,34
97,184510001,137389, 12/06/2019   ,12,6,17,38229,1.57,48,39,32
98,184510001,137389, 12/07/2019   ,12,7,3,38232,0.28,60,50,43
99,184510001,137389, 12/08/2019   ,12,8,2,38234,0.18,61,54,41
100,184510001,137389, 12/09/2019   ,12,9,60,38294,5.53,53,47,43
101,184510001,137389, 12/10/2019   ,12,10,0,38294,0,67,62,60
102,184510001,137389, 12/11/2019   ,12,11,36,38330,3.32,47,37,31
103,184510001,137389, 12/12/2019   ,12,12,90,38420,8.3,61,58,52
104,184510001,137389, 12/13/2019   ,12,13,34,38454,3.13,52,43,35
105,184510001,137389, 12/14/2019   ,12,14,33,38487,3.04,68,56,49
106,184510001,137389, 12/15/2019   ,12,15,33,38520,3.04,49,42,34
107,184510001,137389, 12/16/2019   ,12,16,30,38550,2.77,89,77,66
108,184510001,137389, 12/17/2019   ,12,17,8,38558,0.74,67,68,63
109,184510001,137389, 12/18/2019   ,12,18,23,38581,2.12,69,68,64
110,184510001,137389, 12/19/2019   ,12,19,25,38606,2.31,71,63,56
111,184510001,137389, 12/20/2019   ,12,20,24,38630,2.21,73,68,65
112,184510001,137389, 12/21/2019   ,12,21,64,38694,5.9,54,44,38
113,184510001,137389, 12/22/2019   ,12,22,96,38790,8.85,58,52,49
114,184510001,137389, 12/23/2019   ,12,23,48,38838,4.43,54,45,40
115,184510001,137389, 12/24/2019   ,12,24,27,38865,2.49,56,48,41
116,184510001,137389, 12/25/2019   ,12,25,27,38892,2.49,53,43,37
117,184510001,137389, 12/26/2019   ,12,26,25,38917,2.31,62,49,40
118,184510001,137389, 12/27/2019   ,12,27,45,38962,4.15,56,45,37
119,184510001,137389, 12/28/2019   ,12,28,37,38999,3.41,41,37,26
120,184510001,137389, 12/29/2019   ,12,29,79,39078,7.28,51,44,37
121,184510001,137389, 12/30/2019   ,12,30,36,39114,3.32,57,47,37
122,184510001,137389, 12/31/2019   ,12,31,56,39170,5.16,48,43,37
123,184510001,137389, 01/01/2020   ,1,1,15,39185,1.38,42,38,28
124,184510001,137389, 01/02/2020   ,1,2,6,39191,0.55,60,48,38
125,184510001,137389, 01/03/2020   ,1,3,6,39197,0.55,63,55,49
126,184510001,137389, 01/04/2020   ,1,4,49,39246,4.51,55,43,33
127,184510001,137389, 01/05/2020   ,1,5,48,39294,4.42,90,80,72
128,184510001,137389, 01/06/2020   ,1,6,62,39356,5.71,97,82,70
129,184510001,137389, 01/07/2020   ,1,7,24,39380,2.21,89,79,72
130,184510001,137389, 01/08/2020   ,1,8,16,39396,1.47,84,70,58
131,184510001,137389, 01/09/2020   ,1,9,4,39400,0.37,91,80,71
132,184510001,137389, 01/10/2020   ,1,10,30,39430,2.76,89,79,71
133,184510001,137389, 01/11/2020   ,1,11,23,39453,2.12,76,67,58
134,184510001,137389, 01/12/2020   ,1,12,28,39481,2.58,76,69,64
135,184510001,137389, 01/13/2020   ,1,13,30,39511,2.76,73,61,51
136,184510001,137389, 01/14/2020   ,1,14,12,39523,1.11,62,52,40
137,184510001,137389, 01/15/2020   ,1,15,14,39537,1.29,49,49,40
138,184510001,137389, 01/16/2020   ,1,16,15,39552,1.38,59,51,44
139,184510001,137389, 01/17/2020   ,1,17,18,39570,1.66,64,55,49
140,184510001,137389, 01/18/2020   ,1,18,13,39583,1.2,58,51,44
141,184510001,137389, 01/19/2020   ,1,19,5,39588,0.46,63,57,53
142,184510001,137389, 01/20/2020   ,1,20,18,39606,1.66,56,49,43
143,184510001,137389, 01/21/2020   ,1,21,7,39613,0.64,45,40,35
144,184510001,137389, 01/22/2020   ,1,22,15,39628,1.38,48,43,39
145,184510001,137389, 01/23/2020   ,1,23,20,39648,1.84,62,53,49
146,184510001,137389, 01/24/2020   ,1,24,25,39673,2.3,64,60,52
147,184510001,137389, 01/25/2020   ,1,25,36,39709,3.32,43,34,28
148,184510001,137389, 01/26/2020   ,1,26,45,39754,4.14,51,46,39
149,184510001,137389, 01/27/2020   ,1,27,23,39777,2.12,51,46,42
150,184510001,137389, 01/28/2020   ,1,28,9,39786,0.83,69,55,45
151,184510001,137389, 01/29/2020   ,1,29,34,39820,3.13,71,62,59
152,184510001,137389, 01/30/2020   ,1,30,19,39839,1.75,70,62,51
153,184510001,137389, 01/31/2020   ,1,31,20,39859,1.84,53,46,39
154,184510001,137389, 02/01/2020   ,2,1,5,39864,0.46,45,42,28
155,184510001,137389, 02/02/2020   ,2,2,10,39874,0.92,89,78,69
156,184510001,137389, 02/03/2020   ,2,3,22,39896,2.03,87,78,70
157,184510001,137389, 02/04/2020   ,2,4,22,39918,2.03,92,80,69
158,184510001,137389, 02/05/2020   ,2,5,25,39943,2.31,90,78,72
159,184510001,137389, 02/06/2020   ,2,6,15,39958,1.38,98,85,74
160,184510001,137389, 02/07/2020   ,2,7,28,39986,2.58,80,69,61
161,184510001,137389, 02/08/2020   ,2,8,28,40014,2.58,68,66,65
162,184510001,137389, 02/09/2020   ,2,9,46,40060,4.24,59,55,51
163,184510001,137389, 02/10/2020   ,2,10,24,40084,2.21,76,68,60
164,184510001,137389, 02/11/2020   ,2,11,15,40099,1.38,81,72,69
165,184510001,137389, 02/12/2020   ,2,12,19,40118,1.75,60,52,43
166,184510001,137389, 02/13/2020   ,2,13,19,40137,1.75,69,59,54
167,184510001,137389, 02/14/2020   ,2,14,39,40176,3.6,55,42,33
168,184510001,137389, 02/15/2020   ,2,15,43,40219,3.96,64,54,46
169,184510001,137389, 02/16/2020   ,2,16,42,40261,3.87,52,46,30
170,184510001,137389, 02/17/2020   ,2,17,14,40275,1.29,57,50,44
171,184510001,137389, 02/18/2020   ,2,18,20,40295,1.84,61,50,43
172,184510001,137389, 02/19/2020   ,2,19,33,40328,3.04,62,54,48
173,184510001,137389, 02/20/2020   ,2,20,25,40353,2.31,66,61,53
174,184510001,137389, 02/21/2020   ,2,21,24,40377,2.21,66,62,61
175,184510001,137389, 02/22/2020   ,2,22,34,40411,3.13,68,64,62
176,184510001,137389, 02/23/2020   ,2,23,26,40437,2.4,52,44,37
177,184510001,137389, 02/24/2020   ,2,24,26,40463,2.4,39,37,21
178,184510001,137389, 02/25/2020   ,2,25,21,40484,1.94,53,44,39
179,184510001,137389, 02/26/2020   ,2,26,21,40505,1.94,65,59,48
180,184510001,137389, 02/27/2020   ,2,27,53,40558,4.89,52,43,33
181,184510001,137389, 02/28/2020   ,2,28,35,40593,3.23,52,43,33
